int.rate,fico,not.fully.paid
0.1091,707,1
0.0996,687,1
0.0996,707,0
0.1059,707,1
0.0964,732,0
0.0807,772,0
0.0964,737,0
0.1154,717,0
0.1312,707,1
0.1028,692,0
0.1059,737,0
0.1154,672,0
0.0901,822,0
0.0996,727,0
0.1028,687,0
0.1154,672,0
0.1091,692,0
0.0775,797,0
0.128,722,1
0.1059,767,1
0.1186,667,0
0.0964,732,0
0.1091,697,1
0.0901,712,1
0.0838,737,0
0.1091,672,0
0.1059,682,0
0.0996,727,0
0.147,632,0
0.0901,747,0
0.0775,752,0
0.0996,682,0
0.0712,812,0
0.1091,677,0
0.1154,682,0
0.1091,692,0
0.0775,767,0
0.1028,687,0
0.1028,702,0
0.1028,687,0
0.1122,682,1
0.0775,757,0
0.1154,667,0
0.0743,777,0
0.0933,767,0
0.0901,782,1
0.087,747,0
0.1091,677,0
0.1091,687,0
0.1186,687,0
0.0743,812,0
0.1028,687,1
0.0996,712,0
0.1059,682,0
0.1122,682,0
0.0807,722,0
0.1091,697,0
0.087,757,0
0.1122,677,0
0.1154,682,1
0.0743,757,0
0.0775,787,0
0.1186,667,1
0.1028,692,1
0.1028,702,0
0.0996,702,1
0.087,757,0
0.1217,712,0
0.1217,682,0
0.1217,702,1
0.1186,712,0
0.1091,707,0
0.087,747,0
0.0933,707,0
0.1091,697,0
0.0996,697,0
0.1186,682,1
0.087,722,0
0.1059,702,0
0.1249,662,0
0.1154,707,1
0.0743,777,0
0.1028,697,0
0.087,717,0
0.1217,672,1
0.1028,682,0
0.0964,697,0
0.1059,707,0
0.1375,667,0
0.0901,712,0
0.128,662,0
0.1217,692,1
0.0933,697,0
0.0996,692,0
0.128,677,0
0.1438,682,1
0.0838,772,0
0.1091,697,0
0.0964,772,0
0.128,662,1
0.1217,672,0
0.1186,672,0
0.0964,767,1
0.1091,692,0
0.1249,692,0
0.0775,752,0
0.1028,687,0
0.1407,677,0
0.1091,737,1
0.1596,667,0
0.0933,732,0
0.1312,667,0
0.128,662,0
0.0996,722,0
0.1154,667,0
0.0933,712,0
0.0964,742,0
0.1091,687,0
0.0743,772,0
0.0933,762,1
0.0933,727,1
0.0964,702,0
0.0964,697,0
0.1407,672,1
0.0712,792,0
0.0901,722,0
0.1249,662,1
0.1438,667,0
0.0964,712,0
0.147,677,1
0.0807,767,0
0.0743,767,0
0.0775,742,1
0.1375,687,1
0.1059,687,0
0.1438,672,0
0.1122,702,0
0.128,667,0
0.0964,712,0
0.0996,707,0
0.0838,742,0
0.1059,682,0
0.0807,742,0
0.0933,717,0
0.1343,667,0
0.1217,662,0
0.0933,747,0
0.0901,707,0
0.0901,742,0
0.0807,792,0
0.1122,717,1
0.0996,732,0
0.0712,797,0
0.0996,727,0
0.1154,707,0
0.0964,702,1
0.0933,702,1
0.0901,722,0
0.1122,672,0
0.0807,737,0
0.0964,717,0
0.0996,697,0
0.0743,762,0
0.1014,687,0
0.1046,692,1
0.0743,772,0
0.133,662,0
0.133,662,1
0.0983,712,0
0.1393,662,1
0.0838,737,0
0.133,662,0
0.092,727,0
0.0743,807,0
0.1236,687,0
0.1236,662,1
0.1014,752,0
0.1362,672,0
0.1078,702,0
0.0807,752,0
0.1583,677,0
0.1362,667,0
0.1236,682,1
0.1014,732,0
0.1236,662,0
0.0838,757,0
0.0712,777,0
0.1236,662,0
0.0743,767,0
0.0838,722,0
0.1109,702,0
0.0743,762,1
0.1078,702,1
0.1141,692,0
0.1236,677,0
0.0838,762,0
0.0807,762,1
0.0838,742,0
0.1267,677,1
0.1204,667,0
0.0951,722,0
0.1014,692,0
0.092,727,0
0.1078,687,0
0.1172,667,0
0.1141,667,0
0.0775,767,0
0.1109,687,1
0.0838,742,0
0.1204,677,0
0.0775,742,1
0.0775,767,0
0.1014,702,0
0.1141,682,0
0.1299,682,1
0.1078,677,0
0.1204,677,0
0.1488,667,1
0.0951,777,0
0.0983,712,0
0.0838,767,0
0.1267,662,0
0.1078,692,0
0.1267,697,0
0.092,732,0
0.0951,717,0
0.152,677,0
0.0775,807,0
0.0807,757,0
0.1425,667,0
0.1046,692,0
0.1204,697,0
0.0951,722,0
0.1836,662,0
0.1172,677,0
0.1014,742,0
0.1172,697,0
0.1078,682,0
0.1299,667,1
0.1299,677,0
0.0775,787,1
0.1078,692,1
0.1078,702,0
0.092,727,0
0.1046,687,0
0.1172,672,0
0.133,662,1
0.1172,677,1
0.0838,727,0
0.0712,772,0
0.133,662,1
0.1204,682,0
0.1267,697,0
0.092,742,1
0.0951,747,0
0.1014,732,0
0.0951,732,0
0.1583,662,0
0.1078,687,0
0.1014,722,1
0.1046,732,0
0.0838,742,0
0.1204,677,0
0.1615,682,1
0.1141,702,0
0.1172,692,0
0.1014,702,0
0.1109,677,0
0.1236,677,0
0.1141,702,0
0.1014,697,0
0.1393,662,0
0.133,697,1
0.1078,697,1
0.0775,782,0
0.092,747,0
0.0838,757,0
0.0775,797,0
0.133,692,0
0.1236,702,1
0.1109,697,1
0.1172,682,0
0.1078,692,0
0.1109,722,0
0.1078,692,0
0.1078,682,0
0.1078,702,1
0.0775,792,0
0.1141,692,0
0.0807,782,0
0.0983,757,0
0.1046,727,0
0.1078,687,0
0.1141,692,0
0.1172,682,0
0.1362,667,0
0.1078,697,0
0.0838,722,0
0.0951,767,0
0.0983,722,0
0.092,792,0
0.092,747,0
0.0838,772,1
0.1488,672,0
0.1425,672,0
0.092,727,0
0.1204,682,0
0.0775,757,0
0.0743,772,0
0.0983,712,0
0.133,692,0
0.06,687,0
0.0983,732,0
0.0983,762,0
0.0807,732,0
0.092,727,0
0.0951,717,0
0.092,732,0
0.1393,667,1
0.0775,802,0
0.0951,767,1
0.1172,697,0
0.1046,707,0
0.0983,717,0
0.1267,707,0
0.1046,697,0
0.0832,727,0
0.1261,692,0
0.0945,742,0
0.0863,722,0
0.0832,752,0
0.1324,672,0
0.1197,692,0
0.0945,787,1
0.1387,672,0
0.0863,722,0
0.0976,737,0
0.1071,682,0
0.1008,767,0
0.1292,702,1
0.1039,702,0
0.08,792,0
0.0976,762,0
0.1008,727,0
0.0863,722,0
0.1008,702,0
0.0976,707,0
0.1197,682,0
0.1071,722,0
0.0976,717,0
0.1039,707,0
0.0737,777,0
0.08,737,0
0.1355,677,0
0.0945,712,0
0.1071,697,0
0.1229,672,0
0.0768,777,0
0.08,777,0
0.0976,737,0
0.0832,767,0
0.1355,667,1
0.0945,737,0
0.1324,672,0
0.0976,742,0
0.1071,707,0
0.08,742,0
0.0976,707,0
0.0863,732,0
0.0976,767,0
0.1166,687,0
0.1039,717,0
0.1197,672,1
0.0768,802,0
0.1008,712,0
0.1008,762,0
0.0976,762,1
0.1071,687,0
0.1103,682,0
0.1418,707,1
0.1103,707,1
0.08,777,0
0.0976,712,0
0.1261,667,0
0.1134,707,0
0.0945,762,0
0.08,762,0
0.1166,677,0
0.0737,772,0
0.1545,662,0
0.0768,792,0
0.0976,722,0
0.1134,697,0
0.0976,702,0
0.1292,717,0
0.1324,687,1
0.1008,742,0
0.1229,707,0
0.1071,717,0
0.1324,672,0
0.1418,662,0
0.0863,727,0
0.1166,692,1
0.1103,692,0
0.1103,682,0
0.1482,667,0
0.1197,672,0
0.1166,677,1
0.1261,667,0
0.1134,742,0
0.08,802,0
0.1166,722,0
0.08,762,0
0.1197,702,0
0.1039,732,0
0.0863,757,0
0.1261,697,1
0.1071,727,1
0.1071,707,0
0.1292,677,0
0.1197,672,0
0.0945,742,0
0.1387,702,1
0.1703,662,1
0.0976,712,0
0.1008,717,0
0.1261,672,0
0.1103,687,0
0.1039,702,0
0.1292,677,1
0.1039,717,0
0.1197,702,0
0.1103,722,1
0.1261,687,0
0.1071,722,0
0.0976,777,0
0.1103,717,0
0.1387,662,0
0.1324,697,0
0.0976,722,0
0.1071,727,0
0.0976,782,0
0.0863,752,0
0.145,662,0
0.1039,707,0
0.1166,742,0
0.1355,662,1
0.0768,767,0
0.0976,707,0
0.0945,727,0
0.1134,687,0
0.1134,712,0
0.1103,692,0
0.08,742,0
0.1387,662,1
0.0945,732,0
0.0832,742,0
0.1671,662,0
0.1071,717,1
0.0945,737,0
0.08,787,0
0.0863,717,0
0.1166,687,0
0.1008,732,0
0.1197,687,1
0.1134,682,0
0.1071,687,0
0.0976,767,0
0.0976,777,1
0.1134,697,0
0.0976,707,0
0.1039,707,1
0.0863,742,0
0.1387,672,0
0.0976,762,1
0.145,667,1
0.1513,667,0
0.0863,727,0
0.1103,697,1
0.1166,682,0
0.0976,717,1
0.1576,667,0
0.0945,717,1
0.1418,662,0
0.1134,687,0
0.1229,702,1
0.08,762,0
0.0976,742,0
0.1071,682,0
0.1418,662,0
0.08,762,0
0.1197,682,1
0.1039,692,0
0.1008,712,0
0.1608,667,1
0.0945,717,0
0.0945,787,0
0.1292,687,0
0.1008,732,0
0.0945,797,0
0.1513,662,0
0.1292,697,1
0.0976,742,0
0.1418,662,0
0.1039,717,0
0.1387,682,0
0.0976,737,1
0.1355,677,0
0.1229,692,0
0.0863,732,0
0.1134,687,0
0.1229,672,0
0.1071,722,1
0.1324,672,0
0.1197,697,0
0.1039,712,0
0.1197,682,0
0.1166,712,0
0.1261,667,0
0.0976,722,0
0.0945,712,0
0.1166,682,0
0.1324,672,0
0.1355,662,0
0.0832,807,0
0.1292,667,0
0.1197,682,0
0.1261,682,0
0.1387,692,0
0.0945,727,0
0.1008,757,0
0.1071,702,0
0.1292,672,0
0.1166,682,0
0.1261,687,1
0.1103,702,1
0.1134,717,0
0.164,672,1
0.1229,687,0
0.0737,797,0
0.1261,667,0
0.1103,707,1
0.1103,702,0
0.1103,697,0
0.1071,692,0
0.1229,692,1
0.1103,717,0
0.1324,667,0
0.08,792,0
0.0945,742,0
0.1103,687,0
0.1229,687,0
0.1071,727,1
0.1103,707,0
0.0976,717,0
0.1103,687,0
0.0832,752,0
0.1261,667,0
0.1039,752,0
0.0945,717,1
0.1734,662,0
0.1261,692,0
0.1292,667,0
0.1292,712,1
0.0976,742,0
0.1039,712,0
0.1324,667,0
0.1387,677,0
0.1134,692,1
0.0832,792,0
0.1324,662,0
0.1355,667,0
0.1071,702,0
0.1008,762,0
0.1197,682,0
0.0945,727,0
0.0863,732,0
0.1008,772,0
0.1039,702,0
0.1134,697,0
0.1229,702,1
0.1261,667,0
0.1134,682,0
0.1166,672,0
0.1134,687,0
0.1324,672,0
0.0976,717,0
0.0737,802,0
0.08,742,0
0.08,747,0
0.1008,717,0
0.1008,707,0
0.1355,682,0
0.0945,722,0
0.1355,667,0
0.0945,722,0
0.1039,697,0
0.1229,677,0
0.1134,712,1
0.0945,752,0
0.0976,792,0
0.1039,717,0
0.1197,677,0
0.1229,677,0
0.0863,732,0
0.1039,702,0
0.0945,737,0
0.1134,682,0
0.1039,737,0
0.1355,662,0
0.08,782,0
0.1324,677,0
0.1071,707,0
0.1355,677,0
0.1071,687,0
0.1166,697,1
0.0768,762,0
0.145,682,0
0.0976,717,0
0.0863,727,0
0.1103,687,1
0.1513,662,0
0.1071,722,0
0.08,747,0
0.1039,767,0
0.1051,727,1
0.1071,697,0
0.1482,692,0
0.1008,742,0
0.0832,757,0
0.0976,717,0
0.1103,712,1
0.1039,737,0
0.08,772,0
0.0976,757,0
0.0945,732,0
0.1261,687,0
0.1197,697,0
0.0945,757,0
0.1134,677,1
0.157,672,0
0.0768,792,0
0.1166,697,0
0.1039,707,0
0.0976,732,0
0.0832,772,1
0.1103,717,0
0.0976,792,0
0.1134,702,0
0.1039,712,0
0.1324,672,0
0.1229,672,0
0.1355,697,1
0.1197,682,0
0.0976,742,0
0.1292,677,1
0.1008,762,0
0.1039,747,0
0.1324,712,0
0.1324,687,0
0.1039,712,0
0.1103,682,0
0.1008,722,1
0.0832,737,0
0.0976,707,0
0.0832,797,1
0.1008,762,0
0.1292,687,0
0.1261,757,1
0.1292,662,0
0.0976,742,0
0.0768,757,0
0.1197,692,0
0.1134,692,0
0.1103,687,0
0.1008,742,0
0.0976,727,1
0.1229,667,0
0.1166,682,0
0.1292,667,0
0.1071,717,0
0.1039,712,0
0.08,777,0
0.1482,672,0
0.0832,722,0
0.1039,702,0
0.0976,717,1
0.0945,777,0
0.0768,817,0
0.1324,687,0
0.0863,732,0
0.1324,667,1
0.1166,702,0
0.1229,687,1
0.0768,777,0
0.1324,697,0
0.1134,682,0
0.1134,682,1
0.1071,717,0
0.0832,752,0
0.1166,687,0
0.1292,672,0
0.145,672,0
0.1324,682,1
0.1229,692,0
0.1229,662,0
0.0976,762,0
0.0976,702,0
0.1166,692,1
0.08,762,0
0.1134,682,1
0.1103,722,0
0.0976,717,0
0.0832,767,0
0.0976,727,0
0.1229,662,0
0.1166,687,0
0.1197,687,0
0.1166,687,0
0.1292,692,0
0.1103,697,0
0.1103,722,0
0.1418,667,0
0.1324,672,0
0.1039,727,0
0.1071,717,0
0.1103,692,1
0.1418,692,0
0.1576,677,0
0.1229,707,0
0.0768,797,0
0.1134,722,0
0.0976,762,0
0.1008,757,0
0.0863,727,0
0.0976,712,0
0.1324,707,1
0.1071,717,1
0.1134,687,0
0.1166,682,0
0.1103,682,0
0.145,682,0
0.0863,737,0
0.1197,682,0
0.1197,672,1
0.1166,712,1
0.1355,662,0
0.1008,757,0
0.1387,712,0
0.1418,702,0
0.1039,732,0
0.0737,792,0
0.1008,752,0
0.145,697,0
0.0976,742,0
0.1292,707,0
0.1229,687,0
0.08,767,0
0.0976,747,0
0.1039,707,0
0.0976,727,0
0.1355,697,1
0.0976,707,1
0.1261,672,0
0.1039,712,0
0.1071,712,0
0.1197,697,0
0.1197,677,0
0.1608,677,1
0.0768,747,0
0.1071,697,0
0.1197,692,0
0.1197,682,0
0.0976,722,0
0.1166,677,0
0.1197,697,1
0.1166,702,1
0.08,792,0
0.1324,677,1
0.0976,712,0
0.1197,672,0
0.1166,677,0
0.1197,677,0
0.1703,662,0
0.1355,672,0
0.1103,677,0
0.1008,707,1
0.1071,702,1
0.0832,742,0
0.1039,697,0
0.1008,747,0
0.1261,677,0
0.1229,737,0
0.1008,732,0
0.0832,782,0
0.1008,742,0
0.1103,702,0
0.0976,732,0
0.1103,682,0
0.1134,752,1
0.1576,662,0
0.1103,757,0
0.1608,662,1
0.1071,702,0
0.1039,707,0
0.08,797,0
0.1039,732,0
0.0863,812,0
0.1071,687,0
0.1197,687,0
0.1387,752,0
0.1039,717,1
0.0945,762,0
0.0768,762,0
0.1292,672,1
0.1292,662,0
0.1134,682,0
0.1008,712,0
0.1008,732,0
0.1008,762,0
0.1103,697,1
0.1387,662,0
0.1134,677,0
0.145,662,0
0.1229,687,0
0.1166,707,0
0.1103,692,0
0.0976,717,0
0.08,752,0
0.1071,702,1
0.1134,687,0
0.1387,687,1
0.1103,682,0
0.1039,712,0
0.0945,722,0
0.0737,782,0
0.1292,672,0
0.1166,697,1
0.1418,672,0
0.1134,692,0
0.0863,762,0
0.1197,677,1
0.1008,707,0
0.1166,702,1
0.0863,727,0
0.08,777,0
0.08,762,0
0.08,797,0
0.1071,697,0
0.1008,707,0
0.1197,682,0
0.08,802,1
0.1197,732,0
0.0832,757,0
0.1071,717,0
0.0737,777,0
0.1008,712,1
0.1134,687,0
0.1103,687,0
0.1229,677,0
0.08,797,0
0.0863,747,0
0.1008,707,1
0.1008,742,0
0.1166,687,0
0.0945,727,0
0.1222,692,0
0.0768,762,0
0.1071,702,1
0.1039,692,0
0.1292,662,0
0.1292,672,1
0.1292,667,0
0.08,797,0
0.0832,742,0
0.1197,732,1
0.1387,662,0
0.1355,662,0
0.0863,727,0
0.1545,662,0
0.1324,662,0
0.1008,722,1
0.1071,692,0
0.1103,692,0
0.1134,682,0
0.1039,697,0
0.0863,732,0
0.1103,697,0
0.1166,672,0
0.06,672,0
0.0945,722,0
0.1008,717,0
0.08,762,0
0.0832,752,0
0.1355,672,1
0.1039,692,0
0.1134,687,0
0.1039,712,0
0.1166,702,0
0.0768,752,0
0.0832,767,0
0.1103,692,0
0.1134,677,0
0.0737,782,0
0.0832,747,1
0.0976,722,0
0.1261,672,0
0.1039,697,1
0.1229,672,0
0.0832,742,0
0.1008,742,0
0.1273,712,0
0.0863,732,0
0.1039,707,0
0.1292,667,0
0.1261,677,0
0.0976,717,0
0.1324,662,0
0.1166,672,0
0.145,662,0
0.1229,712,0
0.1292,667,1
0.1166,702,0
0.0737,797,0
0.1229,667,1
0.1197,682,0
0.08,767,0
0.1071,702,0
0.1261,677,1
0.1379,692,0
0.0737,782,0
0.1134,687,0
0.1008,707,1
0.1166,672,0
0.0976,712,0
0.0832,762,0
0.0945,717,0
0.08,772,0
0.0945,727,0
0.0945,712,0
0.0976,707,0
0.1039,702,0
0.08,777,0
0.0976,707,0
0.1008,717,0
0.1008,697,0
0.0768,767,0
0.08,767,0
0.1229,672,0
0.0863,727,0
0.0945,722,0
0.1071,687,0
0.1103,692,1
0.1229,662,0
0.1197,677,0
0.1324,662,0
0.1545,662,0
0.1103,717,0
0.1103,717,0
0.0832,742,0
0.1008,722,0
0.0976,717,0
0.1008,702,0
0.1039,737,0
0.1324,662,1
0.0863,762,0
0.1134,687,0
0.1008,707,0
0.1071,697,0
0.1229,667,0
0.1103,682,0
0.1134,697,0
0.0832,727,0
0.1134,682,0
0.0863,727,0
0.0863,757,0
0.0768,812,0
0.1103,687,0
0.1253,697,0
0.1039,707,0
0.0976,722,0
0.1134,682,0
0.08,747,0
0.0863,722,0
0.1292,662,0
0.1197,677,0
0.0945,722,0
0.1039,702,0
0.1103,682,0
0.1103,687,0
0.1039,702,1
0.1229,682,1
0.1229,667,0
0.1071,702,0
0.1008,702,0
0.1197,692,1
0.1128,717,1
0.0945,732,0
0.1229,667,1
0.08,747,0
0.1071,697,0
0.1166,677,0
0.1261,667,0
0.0832,762,0
0.0737,807,0
0.1166,687,0
0.08,812,0
0.1229,672,0
0.1103,687,0
0.0976,712,0
0.0832,747,0
0.0832,757,0
0.1197,667,0
0.1229,672,1
0.1261,672,1
0.0832,742,0
0.1134,682,0
0.1261,662,0
0.0832,757,0
0.1286,682,0
0.1229,662,0
0.1287,702,0
0.1229,687,0
0.0945,722,1
0.1355,687,0
0.0976,717,1
0.0863,747,0
0.1039,697,1
0.1324,667,0
0.1103,687,0
0.1008,722,0
0.0945,722,0
0.1008,697,1
0.1324,667,1
0.0832,742,0
0.1166,677,0
0.1039,692,0
0.1166,677,0
0.1103,707,0
0.1103,717,0
0.0976,712,1
0.1387,687,0
0.097,717,0
0.08,737,0
0.08,752,0
0.0832,762,0
0.0768,772,0
0.1134,682,0
0.1001,707,0
0.1538,667,0
0.1191,672,0
0.1222,727,0
0.1222,682,0
0.1001,702,0
0.1191,677,0
0.08,752,0
0.1222,682,0
0.1128,687,0
0.1128,687,1
0.1254,677,0
0.1128,677,0
0.1191,707,0
0.08,757,1
0.1159,682,0
0.138,667,0
0.1159,692,0
0.1286,702,0
0.1096,697,0
0.0863,732,0
0.097,717,0
0.0976,727,1
0.1064,697,0
0.0863,787,1
0.1349,667,1
0.097,707,0
0.08,762,0
0.1222,677,0
0.097,732,0
0.1096,697,0
0.1254,682,0
0.1191,672,0
0.1286,677,0
0.1222,712,1
0.08,737,0
0.1064,722,0
0.1033,727,1
0.1071,697,0
0.157,662,0
0.1096,712,1
0.1317,667,0
0.1033,712,0
0.1317,662,0
0.1001,707,0
0.1222,677,0
0.138,662,0
0.1096,707,0
0.0832,742,0
0.0832,737,0
0.1222,677,0
0.1254,667,0
0.1128,702,0
0.1033,702,0
0.1286,682,0
0.1475,662,0
0.0768,782,0
0.1601,697,0
0.1128,682,0
0.1254,672,0
0.0863,762,0
0.1191,687,0
0.1096,687,0
0.097,712,0
0.1096,722,0
0.1507,662,0
0.1159,692,0
0.1317,677,0
0.1222,677,0
0.1507,662,0
0.1128,687,0
0.1128,707,0
0.097,752,0
0.1001,717,1
0.0832,722,0
0.1317,702,0
0.1191,742,0
0.1033,722,0
0.1128,687,0
0.1475,692,0
0.1128,717,1
0.1096,732,0
0.1159,682,1
0.1286,672,0
0.1317,667,0
0.0832,757,0
0.0832,742,0
0.1191,677,0
0.1191,687,0
0.1412,682,0
0.1633,667,1
0.097,757,0
0.1191,682,1
0.097,747,0
0.1475,662,0
0.1033,752,0
0.1633,672,0
0.1096,697,0
0.1191,707,0
0.1222,677,0
0.1286,662,0
0.1096,687,1
0.1096,722,0
0.1096,712,0
0.1033,712,0
0.1222,677,0
0.0832,777,0
0.1222,677,0
0.0832,732,0
0.1222,722,0
0.1696,672,0
0.1191,677,0
0.1096,722,0
0.08,752,0
0.1146,697,1
0.1159,707,0
0.1001,722,0
0.1538,667,1
0.0768,787,0
0.1128,697,1
0.1033,772,0
0.0832,752,0
0.0832,752,0
0.1128,682,1
0.1128,687,1
0.1159,707,0
0.0832,752,0
0.0737,782,0
0.1254,702,0
0.1221,742,0
0.08,782,0
0.1159,687,0
0.138,672,0
0.1033,697,0
0.0863,742,0
0.1096,697,0
0.1001,717,0
0.1128,687,0
0.1412,682,0
0.0863,742,0
0.0832,782,0
0.1128,722,0
0.0863,727,0
0.1128,712,1
0.138,662,0
0.1159,682,0
0.1349,662,1
0.1128,692,0
0.1286,672,0
0.1159,687,0
0.0768,757,0
0.1128,697,1
0.1286,667,0
0.1304,667,1
0.08,757,0
0.0768,792,0
0.1001,727,0
0.1033,702,0
0.1096,697,0
0.1412,662,0
0.1272,667,0
0.1051,707,0
0.1146,707,0
0.1209,712,0
0.1083,712,0
0.1178,717,0
0.1051,727,0
0.1083,742,1
0.1241,747,0
0.1051,722,0
0.1588,667,0
0.0907,752,0
0.102,732,1
0.0907,742,1
0.1083,747,0
0.0907,752,0
0.0832,722,0
0.102,802,0
0.1272,677,0
0.1114,697,0
0.1336,687,0
0.0907,742,0
0.1146,707,0
0.1557,672,0
0.1304,682,0
0.0938,737,1
0.1178,707,0
0.1304,707,0
0.08,787,1
0.0938,767,0
0.1493,682,0
0.1209,692,0
0.0938,757,0
0.1146,692,1
0.0768,777,0
0.1462,682,1
0.0938,732,0
0.1178,692,0
0.1209,702,1
0.1272,692,0
0.1367,662,0
0.1178,682,0
0.0907,737,0
0.0963,717,0
0.1114,732,0
0.1304,697,0
0.08,772,0
0.1178,687,0
0.1051,787,0
0.1178,692,1
0.06,667,0
0.0768,767,0
0.1241,692,0
0.1083,712,0
0.1241,682,0
0.1241,677,0
0.0768,762,0
0.1367,697,0
0.102,732,0
0.1083,732,0
0.1178,732,1
0.1241,707,1
0.1304,672,0
0.08,777,0
0.1083,692,0
0.1336,662,0
0.1367,672,1
0.102,787,0
0.1178,707,0
0.102,727,0
0.1241,692,1
0.1051,717,0
0.1146,702,0
0.1146,722,0
0.1146,722,0
0.1209,687,0
0.1462,667,1
0.0938,742,0
0.1557,672,0
0.1051,767,0
0.1083,717,0
0.1114,722,0
0.102,747,1
0.1304,692,0
0.1304,667,0
0.1304,692,0
0.1146,727,1
0.1178,717,0
0.1126,742,0
0.1493,682,1
0.1083,742,1
0.1241,682,0
0.1442,662,0
0.0907,782,0
0.1051,722,0
0.102,722,0
0.1367,672,0
0.102,707,0
0.1114,722,0
0.1367,687,0
0.1051,772,0
0.1178,712,0
0.1241,697,0
0.1493,662,0
0.1051,707,0
0.08,817,0
0.1083,717,0
0.1083,712,0
0.1493,682,0
0.1148,762,0
0.102,752,0
0.0938,767,0
0.1178,722,0
0.1272,712,0
0.1051,757,1
0.1051,752,0
0.1272,702,0
0.0907,727,1
0.102,717,0
0.1399,662,0
0.1146,682,0
0.1178,717,0
0.1241,722,0
0.1146,702,0
0.1525,722,0
0.1114,702,0
0.1367,667,0
0.08,822,0
0.1083,717,1
0.1083,772,0
0.1367,682,0
0.1272,687,0
0.1399,662,0
0.143,662,0
0.1442,682,0
0.0907,747,0
0.143,667,0
0.1426,762,0
0.1146,757,1
0.1304,677,0
0.1241,677,1
0.08,772,0
0.1083,727,0
0.143,662,0
0.1304,697,0
0.1525,662,1
0.1083,737,0
0.1209,712,0
0.1272,682,0
0.1114,702,0
0.1367,697,0
0.1146,692,0
0.1051,727,0
0.1178,682,0
0.1146,727,0
0.1051,762,0
0.1083,712,0
0.1241,762,0
0.1272,682,0
0.1399,692,0
0.08,762,0
0.1114,702,1
0.1146,707,0
0.1399,662,0
0.1241,712,0
0.08,767,0
0.1241,677,0
0.1114,717,0
0.1399,702,1
0.1146,727,0
0.1367,662,1
0.0768,782,0
0.1083,737,0
0.1557,672,1
0.0907,752,0
0.1114,697,0
0.1083,702,0
0.1114,722,0
0.1178,717,0
0.1347,707,0
0.1083,707,0
0.1083,697,1
0.1241,677,1
0.1367,662,0
0.1114,712,1
0.1272,667,0
0.1493,662,0
0.0768,762,0
0.1336,687,1
0.1178,727,1
0.1178,707,0
0.0938,772,1
0.1399,672,0
0.1392,692,0
0.1904,662,1
0.1209,692,0
0.1336,697,0
0.08,757,0
0.0768,777,0
0.0907,807,0
0.1178,692,0
0.1051,717,0
0.1399,677,0
0.1557,687,0
0.1114,702,0
0.1336,662,0
0.0907,742,0
0.1146,727,0
0.1209,692,1
0.1114,782,0
0.1367,692,0
0.1241,702,0
0.1051,757,0
0.1051,702,0
0.1146,682,0
0.1872,667,1
0.102,717,0
